samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,was_correct,partial_guess
201,1,0,r,r,234537,b,41,234496,true,r
201,1,1,4,4,431954,n,221282,210672,true,r4
201,1,2,n,n,649466,F,455917,193549,true,r4n
201,1,3,d,d,871188,K,661133,210055,true,r4nd
201,1,4,o,o,1089492,^,902865,186627,true,r4ndo
201,1,5,m,m,1301444,a,1211375,90069,true,r4ndom
201,1,6,P,P,1524543,U,1331495,193048,true,r4ndomP
201,1,7,@,@,1732704,3,1548505,184199,true,r4ndomP@
201,1,8,s,s,1946783,Y,1755817,190966,true,r4ndomP@s
201,1,9,k,s,2612096,s,2152416,459680,false,r4ndomP@sk
201,2,0,r,r,218252,p,67,218185,true,r
201,2,1,4,4,441962,3,286634,155328,true,r4
201,2,2,n,n,659628,g,440949,218679,true,r4n
201,2,3,d,d,869182,q,660111,209071,true,r4nd
201,2,4,o,o,1088409,f,879418,208991,true,r4ndo
201,2,5,m,m,1311301,d,1103690,207611,true,r4ndom
201,2,6,P,P,1520174,H,1346538,173636,true,r4ndomP
201,2,7,@,@,1729357,v,1525140,204217,true,r4ndomP@
201,2,8,s,s,1950662,N,1755197,195465,true,r4ndomP@s
201,2,9,s,s,2164486,j,1973916,190570,true,r4ndomP@ss
201,3,0,r,r,218527,d,37,218490,true,r
201,3,1,4,4,434456,v,221490,212966,true,r4
201,3,2,n,n,655110,F,438692,216418,true,r4n
201,3,3,d,d,873010,m,658450,214560,true,r4nd
201,3,4,o,o,1086951,C,893056,193895,true,r4ndo
201,3,5,m,m,1305366,e,1097061,208305,true,r4ndom
201,3,6,P,P,1513787,d,1315847,197940,true,r4ndomP
201,3,7,@,@,1733385,d,1533484,199901,true,r4ndomP@
201,3,8,s,s,1950658,c,1750263,200395,true,r4ndomP@s
201,3,9,s,s,2164430,6,1973774,190656,true,r4ndomP@ss
201,4,0,r,r,219117,d,35,219082,true,r
201,4,1,4,4,434871,w,221418,213453,true,r4
201,4,2,n,n,655399,w,443258,212141,true,r4n
201,4,3,d,d,869685,f,678221,191464,true,r4nd
201,4,4,o,o,1078643,f,879227,199416,true,r4ndo
201,4,5,m,m,1302621,p,1109160,193461,true,r4ndom
201,4,6,P,P,1518119,C,1306898,211221,true,r4ndomP
201,4,7,@,@,1729416,x,1545578,183838,true,r4ndomP@
201,4,8,s,s,1974281,E,1746369,227912,true,r4ndomP@s
201,4,9,s,s,2170097,J,1963707,206390,true,r4ndomP@ss
201,5,0,r,r,219690,a,35,219655,true,r
201,5,1,4,4,434786,w,221916,212870,true,r4
201,5,2,n,n,652268,M,437295,214973,true,r4n
201,5,3,d,d,870127,Z,660800,209327,true,r4nd
201,5,4,o,o,1090180,f,874367,215813,true,r4ndo
201,5,5,m,m,1302481,e,1092677,209804,true,r4ndom
201,5,6,P,P,1517730,g,1323839,193891,true,r4ndomP
201,5,7,X,@,1735995,@,1730386,5609,false,r4ndomPX
201,5,8,K,s,1530427,^,1519895,10532,false,r4ndomPXK
201,5,9,y,s,1526241,d,1521751,4490,false,r4ndomPXKy
201,6,0,r,r,218529,c,37,218492,true,r
201,6,1,4,4,433666,w,221583,212083,true,r4
201,6,2,n,n,652696,T,442548,210148,true,r4n
201,6,3,d,d,872510,S,667131,205379,true,r4nd
201,6,4,o,o,1085239,c,914265,170974,true,r4ndo
201,6,5,m,m,1311942,w,1185926,126016,true,r4ndom
201,6,6,P,P,1572361,n,1508841,63520,true,r4ndomP
201,6,7,6,@,1755802,@,1739248,16554,false,r4ndomP6
201,6,8,M,s,1536340,%,1531035,5305,false,r4ndomP6M
201,6,9,X,s,1853644,Y,1810376,43268,false,r4ndomP6MX
201,7,0,r,r,219720,d,40,219680,true,r
201,7,1,4,4,434969,w,221137,213832,true,r4
201,7,2,n,n,652873,O,439390,213483,true,r4n
201,7,3,d,d,871480,m,657669,213811,true,r4nd
201,7,4,o,o,1086130,^,934581,151549,true,r4ndo
201,7,5,m,m,1318384,W,1103571,214813,true,r4ndom
201,7,6,P,P,1552928,Q,1322235,230693,true,r4ndomP
201,7,7,@,@,1835606,8,1549810,285796,true,r4ndomP@
201,7,8,s,s,1948679,a,1748216,200463,true,r4ndomP@s
201,7,9,s,s,2159065,^,1977071,181994,true,r4ndomP@ss
201,8,0,r,r,219339,q,45,219294,true,r
201,8,1,4,4,434092,w,221736,212356,true,r4
201,8,2,n,n,660400,O,440500,219900,true,r4n
201,8,3,d,d,872178,K,680510,191668,true,r4nd
201,8,4,o,o,1085146,f,880229,204917,true,r4ndo
201,8,5,m,m,1312588,K,1105038,207550,true,r4ndom
201,8,6,P,P,1522823,#,1317976,204847,true,r4ndomP
201,8,7,@,@,1721278,m,1538236,183042,true,r4ndomP@
201,8,8,s,s,1944385,c,1747639,196746,true,r4ndomP@s
