samples,run,guessed_password,success,runtime_ns,avg_gap_ns
201,1,r4ndomP@sl,false,138491964708,209353.8
201,2,r4ndomPx@1,false,129895068083,142959.2
201,3,r4ndomP@ss,true,137779297583,195012.7
201,4,r4ndomP@sF,false,138194393042,195906.2
201,5,r4ndomP@ss,true,137512882833,201692.4
201,6,r4ndomP@ss,true,137436873791,206271.3
201,7,r4ndomP@v4,false,135044920792,164237.6
201,8,r4ndomP@ss,true,137615948167,204178.6
201,9,r4ndomP@ss,true,137672078750,200635.1
201,10,r4ndomP@ss,true,137997878542,187643.3
201,11,r4ndomP@ss,true,137533416000,201863.6
201,12,r4ndomPz5Q,false,128750248166,152404.8
201,13,r4ndomP@ss,true,137729359167,200807.7
201,14,r4ndomP@ss,true,137441890250,207598.2
201,15,r4ndomP@ss,true,137676848250,198614.9
201,16,r4ndomP@ss,true,137451629833,205370.7
201,17,r4ndomP@ss,true,137385073792,209686
201,18,r4ndomP@ss,true,137853208791,196473.7
201,19,r4ndomP@ss,true,137431841709,207494.9
201,20,r4ndomP@ss,true,137398813333,207136
201,1,r4ndomP@sk,false,139449922875,215336.1
201,2,r4ndomP@ss,true,138528197458,198175.3
201,3,r4ndomP@ss,true,138557076625,205352.6
201,4,r4ndomP@ss,true,138367041333,205837.8
201,5,r4ndomPXKy,false,128996427292,149696.4
201,6,r4ndomP6MX,false,130987822666,127173.9
201,7,r4ndomP@ss,true,138959437375,212611.4
201,8,r4ndomP@ss,true,138480061708,204480.9
201,9,r4ndomP@ss,true,138239205125,207189.7
201,10,r4ndomP@ss,true,138482783417,204742.4
201,11,r4ndomP@ss,true,137755517750,201108.6
201,12,r4ndomP@ss,true,137928388541,200274
201,13,r4ndomP@ss,true,138101387208,199925.4
201,14,r4ndomP@ss,true,137881070792,209132.1
201,15,r4ndomP@ss,true,137858304625,203216.9
201,16,r4ndomP@ss,true,138588890042,198772.1
201,17,r4ndomP@ss,true,138944324250,194999.7
201,18,r4ndomP@ss,true,137743132750,208854.3
201,19,r4ndomP@ss,true,137913636917,203167.7
201,20,r4ndomP@ss,true,137645237000,205877.5
101,1,r4ndomP@ss,true,69249370209,199318.6
101,2,r4ndomP@ss,true,69190845209,201928.8
101,3,r4ndomP@ss,true,69164373459,202835.8
101,4,r4ndomP@sx,false,69954559500,212306.1
101,5,r4ndomP@s^,false,69399582375,241462.4
101,6,r4ndomP@ss,true,70493194208,154685.8
101,7,r4ndomP@vf,false,67814889084,174740.9
101,8,r4ndomP@&B,false,68607834750,198808.9
101,9,r4nC9Za2!U,false,37604866875,83760.9
101,10,r4ndomP@ss,true,69637058625,177620.7
101,11,r4ndomP@ss,true,69246849917,201347.1
101,12,r4ndomP@ss,true,69170599541,201526.3
101,13,r4ndomP@ss,true,69645826291,181417.9
101,14,r4ndomP@sQ,false,70230359417,164104
101,15,r4ndomP@ss,true,70616647125,159660
101,16,r4ndomP@ss,true,70106977958,202331.5
101,17,r4ndomP@ss,true,69425677833,191207.5
101,18,r4ndomP@ss,true,69506194333,175280.7
101,19,r4ndomP@#^,false,68285245208,174393.9
101,20,r4ndomUhiY,false,60662565458,144187.5
50,1,r4ndomP@ss,true,34226830333,190277.5
50,2,r4ndomP@p0,false,33599470042,170896.6
50,3,r4ndomP@ss,true,34155518541,197835.4
50,4,r4ndomP@ss,true,34215809500,189202.7
50,5,r4ndomP@ss,true,34303654500,185125
50,6,r4ndomP@ss,true,34194714542,194694.5
50,7,r4ndomP@ss,true,34214903250,182389.8
50,8,r4ndomP@ss,true,34227531875,178096
50,9,r4ndomP@ss,true,34282440833,177916.4
50,10,r4ndomP@ss,true,34731645125,146944
50,11,r4ndomP@ss,true,34467267958,188683.1
50,12,r4ndomP@ss,true,34454562458,185843.3
50,13,r4ndomP@ss,true,34456946583,199175.3
50,14,r4ndo9Pm*S,false,26960897083,117329.7
50,15,r4ndomP@ss,true,34376519500,182162.6
50,16,r4ndomP@ss,true,34410174041,176236.5
50,17,r4ndomP@ss,true,34304964708,189548.4
50,18,r4ndomP@ss,true,34361463625,179792.4
50,19,r4ndomP@ss,true,34143299458,179678.4
50,20,r4ndomP@ss,true,34141495834,186463.5
10,1,r4ndomP@s$,false,6870508166,181172.9
10,2,r4ndomP@ss,true,6890747083,181846.6
10,3,r4ndomP@ss,true,6865326584,207416
10,4,r4ndomP@ss,true,6878258917,191054.9
10,5,r4ndomP@ss,true,6869368958,185557
10,6,r4ndomPRaX,false,6410147083,151236.7
10,7,r4ndomP@ss,true,6874842583,203475.7
10,8,r4ndomP@ss,true,6890098375,203684
10,9,r4ndomP@ss,true,6865095209,201443.9
10,10,r4ndomP@s0,false,6863689292,200271.5
10,11,r4ndomP@ss,true,6855614542,202825.7
10,12,r4ndomP@ss,true,6854724250,205570.4
10,13,r4ndomP@ss,true,6858579708,203679.3
10,14,r4ndomP@ss,true,6854409791,208476.6
10,15,r4ndomscGb,false,5947358917,170454.4
10,16,r4ndomP@ss,true,6871716667,201268.7
10,17,r4ndOsT!LC,false,4611991458,81931.8
10,18,r4ndomP@ss,true,6853969959,206078.6
10,19,r4nd@a5ljc,false,4619736458,91201.8
10,20,r4ndomPhcb,false,6407418833,150063.3
1,1,r4ndomP@ss,true,691406125,106616.6
1,2,r4ndomP@ss,true,684236500,119041.6
1,3,r4ndomP@ss,true,683983250,128983.2
1,4,r4ndomP@sd,false,683463208,114333.5
1,5,r4ndomP@sd,false,683245375,103321.1
1,6,r4ndomP@ss,true,683130833,102525.2
1,7,r4*vBoNgod,false,274080375,595899.9
1,8,r4ndomP@ss,true,684724375,155866.8
1,9,r4ndomP@ss,true,682700833,132708.1
1,10,r4ndomPBWg,false,646160750,117250
1,11,r4ndomheS%,false,608967916,309253.9
1,12,r4n*XKxjjj,false,370931584,46762.4
1,13,r4ndomP@mp,false,799328041,1480133.5
1,14,r4n&UvEj9b,false,381091500,377170.9
1,15,r4ndomGElr,false,594886458,96429.2
1,16,r4ndomP@9V,false,698670750,684483.4
1,17,r2PCt#CCqB,false,146023875,216104.2
1,18,r4UpzHMj@U,false,295987375,123004.4
1,19,r*aylXIcuD,false,168362500,427508.2
1,20,r4gZpMj@uS,false,281166291,363195.6
