iters,samples,run,guessed_password,success,runtime_ns,avg_gap_ns,avg_gap_ratio
50000,101,1,r4ndomP@ss,true,40504093000,122118.1,414.13599014379287
50000,101,2,r4ndomP@ss,true,40645441200,110239.4,260.93731252847465
50000,101,3,r4ndomP@ss,true,40605620200,118723.3,412.3538223588589
50000,101,4,r4ndomP@ss,true,40683162600,113850.7,329.2125029357653
50000,101,5,r4ndomP@ss,true,40618966200,121124.6,438.4565146094852
50000,101,6,r4ndomP@ss,true,40628306500,116329.6,318.89574461406403
50000,101,7,r4ndomP@ss,true,40546835300,120619.1,328.7317889410894
50000,101,8,r4ndomP@ss,true,40525584500,120553.9,437.3706491688687
50000,101,9,r4ndomP@ss,true,40532340700,118819.7,345.2442070190473
50000,101,10,r4ndomP@ss,true,40587489100,121201.5,473.3224510724467
50000,101,11,r4ndomP@ss,true,40699051000,116226.7,346.03500014640287
50000,101,12,r4ndomP@ss,true,40684307400,119945.5,330.2970091484092
50000,101,13,r4ndomP@ss,true,40707594000,121744.1,440.91614284581846
50000,101,14,r4ndomP@ss,true,40697955700,120513.6,412.7894503973768
50000,101,15,r4ndomP@ss,true,40679823900,123288.5,236.70112493404736
50000,101,16,r4ndomP@ss,true,40683814900,120117.2,355.89678468023834
50000,101,17,r4ndomP@ss,true,40680939800,121338.2,324.45459674033776
50000,101,18,r4ndomP@ss,true,40704088600,118675,441.1439648361691
50000,101,19,r4ndomP@ss,true,40651142400,123385.7,440.6538413738237
50000,101,20,r4ndomP@ss,true,40667776400,119064.3,412.3113213298869
10000,101,1,r4ndomP@ss,true,8144618000,24462.2,41.7029387294223
10000,101,2,r4ndomP@ss,true,8136420900,23639.6,89.03455700873693
10000,101,3,r4ndomP@ss,true,8138053900,24434.7,83.42457863789421
10000,101,4,r4ndomP@ss,true,8143369400,24048.8,95.60410904654313
10000,101,5,r4ndomP@ss,true,8114278800,24640.1,66.16735352081925
10000,101,6,r4ndomP@ss,true,8152047400,23935.8,80.85439527466698
10000,101,7,r4ndomP@ss,true,8115289900,23780.6,88.58033488128513
10000,101,8,r4ndomP@ss,true,8168341600,23774.7,89.08917203695245
10000,101,9,r4ndomP@ss,true,8120526900,24764.9,81.11336360831146
10000,101,10,r4ndomP@ss,true,8140442700,23827.5,83.42439150063872
10000,101,11,r4ndomP@ss,true,8141394100,24407.2,66.16284624883588
10000,101,12,r4ndomP@ss,true,8108115100,24415.4,76.10730676035438
10000,101,13,r4ndomP@ss,true,8137428400,24065,89.09516427944192
10000,101,14,r4ndomP@ss,true,8103930000,24607.5,88.60745184594762
10000,101,15,r4ndomP@ss,true,8132200200,24065.4,89.10047343365241
10000,101,16,r4ndomP@ss,true,8122692700,24208.2,64.84811701445807
10000,101,17,r4ndomP@ss,true,8151251500,23692.8,89.09813796403864
10000,101,18,r4ndomP@ss,true,8169743100,23567.7,67.37809036294894
10000,101,19,r4ndomP@ss,true,8124198500,24204.3,65.28629512963548
10000,101,20,r4ndomP@ss,true,8147922300,24008.1,89.10165753704544
1000,101,1,r4ndomP@ss,true,815516800,1627,9.986377604594688
1000,101,2,r4ndaEmuaB,false,546500000,1127.1,9.88638965479684
1000,101,3,r4ndomP@ss,true,810719200,1978.3,10.004029808504827
1000,101,4,r4ndqKo^ga,false,544812300,854.1,9.9102575346281
1000,101,5,r4ndomP@ss,true,811244700,2167.6,10.69468119971263
1000,101,6,r4ndomP@ss,true,812762500,2111.5,9.438497878353296
1000,101,7,r4ndomPkcB,false,759891200,1658.1,9.09268946363989
1000,101,8,r4ndomP@ss,true,818927300,2161.3,9.37070555542766
1000,101,9,r4ndomP@ss,true,826025500,1909.3,10.088070246775981
1000,101,10,r4ndomP@ss,true,821005200,2229.7,8.152989861005993
1000,101,11,r4ndomP@ss,true,815452600,2177.2,9.431435390279512
1000,101,12,r4ndomP@ss,true,812989500,1964.5,9.506528366487819
1000,101,13,r4ndomP@ss,true,810448100,2380.9,7.848018321427212
1000,101,14,r4ndoPfnsy,false,632347100,1086.5,9.366113388661859
1000,101,15,r4ndomP@ss,true,810361900,2081.3,8.057144292901478
1000,101,16,r4ndomP@ss,true,810939900,2020.4,7.193206325646647
1000,101,17,r4ndomP@ss,true,820283800,1959.6,8.22869459998591
1000,101,18,r4ndomP@ss,true,826753600,1975.2,4.870393103449525
