iters,samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,gap_ratio,was_correct,partial_guess
10000,1,1,0,r,r,26200,G,100,26100,262,true,r
10000,1,1,1,4,4,51200,%,33200,18000,1.5421686746987953,true,r4
10000,1,1,2,t,n,221200,X,211800,9400,1.04438149197356,false,r4t
10000,1,1,3,%,d,57500,K,56000,1500,1.0267857142857142,false,r4t%
10000,1,1,4,F,o,92100,X,62800,29300,1.46656050955414,false,r4t%F
10000,1,1,5,2,m,57600,!,57500,100,1.0017391304347827,false,r4t%F2
10000,1,1,6,s,P,59700,#,57700,2000,1.0346620450606585,false,r4t%F2s
10000,1,1,7,b,@,55900,N,54700,1200,1.0219378427787935,false,r4t%F2sb
10000,1,1,8,T,s,63200,G,56500,6700,1.1185840707964603,false,r4t%F2sbT
10000,1,1,9,M,s,56600,L,54100,2500,1.0462107208872458,false,r4t%F2sbTM
10000,1,2,0,r,r,25600,&,100,25500,256,true,r
10000,1,2,1,4,4,51500,y,34300,17200,1.501457725947522,true,r4
10000,1,2,2,n,n,77300,#,72600,4700,1.0647382920110193,true,r4n
10000,1,2,3,f,d,127700,d,103300,24400,1.2362052274927395,false,r4nf
10000,1,2,4,o,o,82200,B,81900,300,1.0036630036630036,true,r4nfo
10000,1,2,5,%,m,95200,O,94100,1100,1.0116896918172158,false,r4nfo%
10000,1,2,6,1,P,84400,u,82300,2100,1.025516403402187,false,r4nfo%1
10000,1,2,7,#,@,85300,h,84900,400,1.0047114252061249,false,r4nfo%1#
10000,1,2,8,2,s,124400,q,91000,33400,1.367032967032967,false,r4nfo%1#2
10000,1,2,9,b,s,85000,1,84900,100,1.0011778563015312,false,r4nfo%1#2b
10000,1,3,0,r,r,25800,*,100,25700,258,true,r
10000,1,3,1,4,4,52800,#,33700,19100,1.5667655786350148,true,r4
10000,1,3,2,n,n,81000,Z,60200,20800,1.345514950166113,true,r4n
10000,1,3,3,k,d,110200,d,103100,7100,1.0688651794374393,false,r4nk
10000,1,3,4,c,o,85100,0,84400,700,1.0082938388625593,false,r4nkc
10000,1,3,5,*,m,82400,f,82300,100,1.0012150668286757,false,r4nkc*
10000,1,3,6,V,P,85800,j,84300,1500,1.0177935943060499,false,r4nkc*V
10000,1,3,7,Z,@,85900,j,83000,2900,1.0349397590361447,false,r4nkc*VZ
10000,1,3,8,4,s,165700,N,84900,80800,1.9517078916372204,false,r4nkc*VZ4
10000,1,3,9,&,s,85000,C,81900,3100,1.037851037851038,false,r4nkc*VZ4&
10000,1,4,0,r,r,25600,a,100,25500,256,true,r
10000,1,4,1,4,4,51300,d,40800,10500,1.2573529411764706,true,r4
10000,1,4,2,n,n,76800,0,58900,17900,1.303904923599321,true,r4n
10000,1,4,3,p,d,110400,d,103200,7200,1.069767441860465,false,r4np
10000,1,4,4,T,o,88300,G,83000,5300,1.063855421686747,false,r4npT
10000,1,4,5,z,m,86200,Y,85000,1200,1.0141176470588236,false,r4npTz
10000,1,4,6,^,P,85000,y,82600,2400,1.0290556900726393,false,r4npTz^
10000,1,4,7,v,@,97500,Q,84900,12600,1.1484098939929328,false,r4npTz^v
10000,1,4,8,#,s,109400,a,97700,11700,1.119754350051177,false,r4npTz^v#
10000,1,4,9,*,s,96700,Z,83800,12900,1.1539379474940334,false,r4npTz^v#*
10000,1,5,0,r,r,25900,^,100,25800,259,true,r
10000,1,5,1,4,4,51300,B,33400,17900,1.535928143712575,true,r4
10000,1,5,2,n,n,84000,A,56500,27500,1.4867256637168142,true,r4n
10000,1,5,3,x,d,116400,d,103000,13400,1.1300970873786407,false,r4nx
10000,1,5,4,Y,o,84900,!,82200,2700,1.032846715328467,false,r4nxY
10000,1,5,5,&,m,85000,q,84300,700,1.0083036773428233,false,r4nxY&
10000,1,5,6,m,P,89400,@,87200,2200,1.025229357798165,false,r4nxY&m
10000,1,5,7,a,@,85300,q,83500,1800,1.0215568862275448,false,r4nxY&ma
10000,1,5,8,v,s,84000,R,82600,1400,1.0169491525423728,false,r4nxY&mav
10000,1,5,9,F,s,149200,5,87600,61600,1.7031963470319635,false,r4nxY&mavF
10000,1,6,0,r,r,25800,^,100,25700,258,true,r
10000,1,6,1,4,4,51300,l,47400,3900,1.0822784810126582,true,r4
10000,1,6,2,n,n,77100,L,56200,20900,1.3718861209964412,true,r4n
10000,1,6,3,E,d,104700,d,103000,1700,1.0165048543689321,false,r4nE
10000,1,6,4,6,o,85200,8,83400,1800,1.0215827338129497,false,r4nE6
10000,1,6,5,@,m,84900,L,83100,1800,1.0216606498194947,false,r4nE6@
10000,1,6,6,t,P,98800,F,87300,11500,1.131729667812142,false,r4nE6@t
10000,1,6,7,l,@,85500,W,83900,1600,1.0190703218116806,false,r4nE6@tl
10000,1,6,8,^,s,84900,n,83800,1100,1.0131264916467781,false,r4nE6@tl^
10000,1,6,9,i,s,128300,T,85000,43300,1.5094117647058825,false,r4nE6@tl^i
10000,1,7,0,r,r,25800,b,100,25700,258,true,r
10000,1,7,1,4,4,51300,H,32300,19000,1.588235294117647,true,r4
10000,1,7,2,n,n,76900,F,59100,17800,1.3011844331641287,true,r4n
10000,1,7,3,A,d,140000,d,103500,36500,1.3526570048309179,false,r4nA
10000,1,7,4,C,o,83500,^,83300,200,1.0024009603841537,false,r4nAC
10000,1,7,5,7,m,82500,f,82100,400,1.004872107186358,false,r4nAC7
