iters,samples,run,guessed_password,success,runtime_ns,avg_gap_ns,avg_gap_ratio
10000,1,1,r4t%F2sbTM,false,33331300,9680,27.230303020047025
10000,1,2,r4nfo%1#2b,false,45756700,10920,26.621619259287435
10000,1,3,r4nkc*VZ4&,false,45992600,16180,26.903294689676027
10000,1,4,r4npTz^v#*,false,45652300,10720,26.61601562569926
10000,1,5,r4nxY&mavF,false,45614200,15500,26.996083303107934
10000,1,6,r4nE6@tl^i,false,45558200,11330,26.8187251085987
10000,1,7,r4nAC7a*7z,false,45665600,13800,26.868902551180476
10000,1,8,r4nt!Ph@&w,false,45637400,14300,26.788475631627033
10000,1,9,r4ndoNLKIb,false,65537500,14260,26.855249380636423
10000,1,10,r4nSK&I0Gx,false,45386600,14870,26.704048803635338
10000,1,11,r4n3JbTWoF,false,45974500,13330,26.75015587866316
10000,1,12,r4n#&iW7uM,false,45783800,14410,26.807095905143818
10000,1,13,r4n^i@*aMU,false,46046200,27980,27.128225986260922
10000,1,14,r4nd%ok^ua,false,56846600,21860,26.720128303134135
10000,1,15,r0TShBjmMU,false,18372900,31500,27.345894583603716
10000,1,16,r4ndpuAXJ7,false,56827800,14130,26.86789087956756
10000,1,17,r4op0yBgpt,false,32964500,10330,26.830295368047604
10000,1,18,rnZprD$m*A,false,18880600,28060,27.342838287413763
10000,1,19,rHePEMJ6&F,false,19415900,11220,14.206241421783862
10000,1,20,r4nd1yEyCH,false,57229800,32440,27.142792329386936
10000,1,21,r4ndomJo#M,false,73226500,14780,28.642080539741823
10000,1,22,r4ndE3L8TZ,false,57323300,12030,13.8752295349868
10000,1,23,r4ndodWX9d,false,66657600,18200,27.485479246488676
10000,1,24,r4ndzhE1L1,false,58041800,21830,14.1754587480352
10000,1,25,r4ndoVHte0,false,66911300,9920,26.750717146696708
10000,1,26,r4ndlfu3yd,false,57504000,14230,26.588271968652208
10000,1,27,r#@BDp0vNd,false,17745500,10370,26.79815620796967
10000,1,28,r4ndy5G56e,false,57064400,17650,26.75268247189816
10000,1,29,r4ndoe1Qb7,false,66714800,13560,26.6617775078343
10000,1,30,r4ndLcTc38,false,56919500,13530,26.755585701262003
10000,1,31,r41Ktg*HMc,false,32759300,11420,26.762707242705535
10000,1,32,r4jgXHbbgj,false,32943100,7650,26.51802311125951
10000,1,33,r4ndM2X039,false,57272900,12450,26.739390002391342
10000,1,34,r4ndof6Wyx,false,66756700,15860,26.745329198164363
10000,1,35,r4nd%0t1&3,false,56628700,10910,26.733868937158633
10000,1,36,rVgSSVknpu,false,17953300,3790,26.640639616746377
10000,1,37,r4n^TmSCaF,false,46058500,10590,26.60248144390021
10000,1,38,r4n#dtZ*aP,false,45582300,13220,26.789603956327557
10000,1,39,r4ndeblau#,false,56911100,21540,26.648744641987328
10000,1,40,r4geh&nhcP,false,33401500,9910,26.68197210953691
10000,1,41,r4ndBbKFUZ,false,56896900,13600,26.763827862079687
10000,1,42,r4d4QgX1aa,false,32706100,24520,26.950817984076373
