position,character,trimmed_mean_ns,sample_index,raw_time_ns
0,a,21,0,20
0,a,21,1,20
0,a,21,2,20
0,a,21,3,20
0,a,21,4,20
0,a,21,5,20
0,a,21,6,20
0,a,21,7,20
0,a,21,8,20
0,a,21,9,20
0,a,21,10,20
0,a,21,11,20
0,a,21,12,20
0,a,21,13,20
0,a,21,14,20
0,a,21,15,20
0,a,21,16,20
0,a,21,17,20
0,a,21,18,20
0,a,21,19,20
0,a,21,20,20
0,a,21,21,20
0,a,21,22,20
0,a,21,23,20
0,a,21,24,20
0,a,21,25,20
0,a,21,26,20
0,a,21,27,20
0,a,21,28,20
0,a,21,29,20
0,a,21,30,20
0,a,21,31,20
0,a,21,32,20
0,a,21,33,20
0,a,21,34,20
0,a,21,35,20
0,a,21,36,20
0,a,21,37,20
0,a,21,38,20
0,a,21,39,20
0,a,21,40,20
0,a,21,41,20
0,a,21,42,20
0,a,21,43,20
0,a,21,44,20
0,a,21,45,20
0,a,21,46,20
0,a,21,47,20
0,a,21,48,20
0,a,21,49,20
0,a,21,50,20
0,a,21,51,20
0,a,21,52,20
0,a,21,53,20
0,a,21,54,20
0,a,21,55,20
0,a,21,56,20
0,a,21,57,20
0,a,21,58,20
0,a,21,59,20
0,a,21,60,20
0,a,21,61,20
0,a,21,62,20
0,a,21,63,20
0,a,21,64,20
0,a,21,65,20
0,a,21,66,20
0,a,21,67,20
0,a,21,68,20
0,a,21,69,20
0,a,21,70,20
0,a,21,71,20
0,a,21,72,20
0,a,21,73,20
0,a,21,74,20
0,a,21,75,20
0,a,21,76,20
0,a,21,77,20
0,a,21,78,20
0,a,21,79,20
0,a,21,80,20
0,a,21,81,20
0,a,21,82,20
0,a,21,83,20
0,a,21,84,20
0,a,21,85,20
0,a,21,86,20
0,a,21,87,20
0,a,21,88,20
0,a,21,89,20
0,a,21,90,20
0,a,21,91,20
0,a,21,92,20
0,a,21,93,20
0,a,21,94,20
0,a,21,95,20
0,a,21,96,20
0,a,21,97,20
0,a,21,98,20
0,a,21,99,20
0,a,21,100,20
0,a,21,101,20
0,a,21,102,20
0,a,21,103,20
0,a,21,104,20
0,a,21,105,20
0,a,21,106,20
0,a,21,107,20
0,a,21,108,20
0,a,21,109,20
0,a,21,110,20
0,a,21,111,20
0,a,21,112,20
0,a,21,113,20
0,a,21,114,20
0,a,21,115,20
0,a,21,116,20
0,a,21,117,20
0,a,21,118,20
0,a,21,119,20
0,a,21,120,21
0,a,21,121,21
0,a,21,122,21
0,a,21,123,21
0,a,21,124,21
0,a,21,125,21
0,a,21,126,21
0,a,21,127,21
0,a,21,128,21
0,a,21,129,21
0,a,21,130,21
0,a,21,131,21
0,a,21,132,21
0,a,21,133,21
0,a,21,134,21
0,a,21,135,21
0,a,21,136,21
0,a,21,137,21
0,a,21,138,21
0,a,21,139,21
0,a,21,140,21
0,a,21,141,21
0,a,21,142,21
0,a,21,143,21
0,a,21,144,21
0,a,21,145,21
0,a,21,146,21
0,a,21,147,21
0,a,21,148,21
0,a,21,149,21
0,a,21,150,30
0,a,21,151,30
0,a,21,152,30
0,a,21,153,30
0,a,21,154,30
0,a,21,155,30
0,a,21,156,30
0,a,21,157,30
0,a,21,158,30
0,a,21,159,30
0,a,21,160,30
0,a,21,161,30
0,a,21,162,30
0,a,21,163,30
0,a,21,164,30
0,a,21,165,30
0,a,21,166,30
0,a,21,167,30
0,a,21,168,30
0,a,21,169,30
0,a,21,170,30
0,a,21,171,30
0,a,21,172,30
0,a,21,173,30
0,a,21,174,30
0,a,21,175,30
